,NetworkIPv4_CIDR,SerialNumber,CountryName,CountryCode,RegionName,RegionCode,CityName,Latitude,Longitude,NewSerialNumber
5772,10.144.59.224/28,3014,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5772
5773,10.144.59.240/29,3004,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5773
5774,10.144.60.0/24,3156,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5774
5775,10.144.61.0/24,3155,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5775
5776,10.144.62.0/24,3154,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5776
5777,10.144.63.64/27,3139,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5777
5778,10.144.63.96/27,3153,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5778
5779,10.144.63.128/27,3135,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5779
5780,10.144.63.160/27,3136,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5780
5781,10.144.63.192/27,3138,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5781
5782,10.144.63.224/28,3137,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5782
5783,10.144.63.240/29,3140,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5783
5784,10.144.72.0/27,3128,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5784
5785,10.144.72.32/27,3129,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5785
5786,10.144.72.64/27,3126,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5786
5787,10.144.72.96/27,3125,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5787
5788,10.144.72.136/29,3130,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5788
5789,10.144.72.152/29,3127,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5789
5790,10.144.72.160/27,3148,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5790
5791,10.144.72.192/26,3149,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5791
5792,10.144.73.0/24,3150,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5792
5793,10.144.75.0/24,3151,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5793
5794,10.144.76.0/27,3170,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5794
5795,10.144.76.32/29,3162,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5795
5796,10.144.76.96/27,3163,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5796
5797,10.144.76.144/29,3167,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5797
5798,10.144.76.152/29,3165,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5798
5799,10.144.76.160/27,3164,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5799
5800,10.144.76.192/26,3166,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5800
5801,10.144.77.0/24,3169,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5801
5802,10.144.79.0/24,3168,France,FR,Normandy,NOR,Digulleville,49.6998,-1.859,5802
5803,10.144.80.0/24,3017,France,FR,Normandy,NOR,Equeurdreville-Hainneville,49.6487,-1.6531,5803
5804,10.144.84.0/24,3152,France,FR,Normandy,NOR,Cherbourg-Octeville,49.6454,-1.6144,5804
5805,10.144.164.0/22,1682,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5805
5806,10.144.172.128/25,1681,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5806
5807,10.144.173.0/24,2046,France,FR,Île-de-France,IDF,Paris,48.8543,2.3527,5807
5808,10.144.174.0/26,1658,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5808
5809,10.144.175.0/26,1662,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5809
5810,10.144.175.64/26,1660,France,FR,Île-de-France,IDF,Guyancourt,48.7733,2.0739,5810
